FIPS,StateName,StateAbbrev,CountyName,ShortCounty
01001,Alabama,AL,Autauga County,Autauga
01003,Alabama,AL,Baldwin County,Baldwin
01005,Alabama,AL,Barbour County,Barbour
01007,Alabama,AL,Bibb County,Bibb
01009,Alabama,AL,Blount County,Blount
01011,Alabama,AL,Bullock County,Bullock
01013,Alabama,AL,Butler County,Butler
01015,Alabama,AL,Calhoun County,Calhoun
01017,Alabama,AL,Chambers County,Chambers
01019,Alabama,AL,Cherokee County,Cherokee
01021,Alabama,AL,Chilton County,Chilton
01023,Alabama,AL,Choctaw County,Choctaw
01025,Alabama,AL,Clarke County,Clarke
01027,Alabama,AL,Clay County,Clay
01029,Alabama,AL,Cleburne County,Cleburne
01031,Alabama,AL,Coffee County,Coffee
01033,Alabama,AL,Colbert County,Colbert
01035,Alabama,AL,Conecuh County,Conecuh
01037,Alabama,AL,Coosa County,Coosa
01039,Alabama,AL,Covington County,Covington
01041,Alabama,AL,Crenshaw County,Crenshaw
01043,Alabama,AL,Cullman County,Cullman
01045,Alabama,AL,Dale County,Dale
01047,Alabama,AL,Dallas County,Dallas
01049,Alabama,AL,DeKalb County,DeKalb
01051,Alabama,AL,Elmore County,Elmore
01053,Alabama,AL,Escambia County,Escambia
01055,Alabama,AL,Etowah County,Etowah
01057,Alabama,AL,Fayette County,Fayette
01059,Alabama,AL,Franklin County,Franklin
01061,Alabama,AL,Geneva County,Geneva
01063,Alabama,AL,Greene County,Greene
01065,Alabama,AL,Hale County,Hale
01067,Alabama,AL,Henry County,Henry
01069,Alabama,AL,Houston County,Houston
01071,Alabama,AL,Jackson County,Jackson
01073,Alabama,AL,Jefferson County,Jefferson
01075,Alabama,AL,Lamar County,Lamar
01077,Alabama,AL,Lauderdale County,Lauderdale
01079,Alabama,AL,Lawrence County,Lawrence
01081,Alabama,AL,Lee County,Lee
01083,Alabama,AL,Limestone County,Limestone
01085,Alabama,AL,Lowndes County,Lowndes
01087,Alabama,AL,Macon County,Macon
01089,Alabama,AL,Madison County,Madison
01091,Alabama,AL,Marengo County,Marengo
01093,Alabama,AL,Marion County,Marion
01095,Alabama,AL,Marshall County,Marshall
01097,Alabama,AL,Mobile County,Mobile
01099,Alabama,AL,Monroe County,Monroe
01101,Alabama,AL,Montgomery County,Montgomery
01103,Alabama,AL,Morgan County,Morgan
01105,Alabama,AL,Perry County,Perry
01107,Alabama,AL,Pickens County,Pickens
01109,Alabama,AL,Pike County,Pike
01111,Alabama,AL,Randolph County,Randolph
01113,Alabama,AL,Russell County,Russell
01115,Alabama,AL,St. Clair County,St. Clair
01117,Alabama,AL,Shelby County,Shelby
