lat,lng,state_id,state_name,population,county_fips,county_name
32.51249,-86.56896,AL,Alabama,26954,01001,Autauga
30.61297,-87.86137,AL,Alabama,27890,01003,Baldwin
31.93342,-85.20924,AL,Alabama,16261,01005,Barbour
33.11479,-87.13924,AL,Alabama,5841,01007,Bibb
33.94125,-86.45527,AL,Alabama,15570,01009,Blount
32.15113,-85.70046,AL,Alabama,8760,01011,Bullock
31.79895,-86.62528,AL,Alabama,14074,01013,Butler
33.84778,-85.78524,AL,Alabama,21060,01015,Calhoun
32.75379,-85.18444,AL,Alabama,14576,01017,Chambers
34.12779,-85.57398,AL,Alabama,10087,01019,Cherokee
32.80704,-86.67285,AL,Alabama,14870,01021,Chilton
32.10204,-88.25861,AL,Alabama,4098,01023,Choctaw
31.4894,-87.87434,AL,Alabama,9941,01025,Clarke
33.34875,-85.74062,AL,Alabama,5582,01027,Clay
33.59501,-85.53865,AL,Alabama,8659,01029,Cleburne
31.30615,-85.8632,AL,Alabama,35530,01031,Coffee
34.6576,-87.78283,AL,Alabama,18475,01033,Colbert
31.47366,-86.94931,AL,Alabama,8314,01035,Conecuh
33.08977,-86.06138,AL,Alabama,5193,01037,Coosa
31.17685,-86.57649,AL,Alabama,10673,01039,Covington
31.76331,-86.28198,AL,Alabama,5706,01041,Crenshaw
34.15399,-86.75906,AL,Alabama,19427,01043,Cullman
31.46766,-85.6177,AL,Alabama,20157,01045,Dale
32.47679,-87.05709,AL,Alabama,24268,01047,Dallas
34.40141,-85.69627,AL,Alabama,16630,01049,DeKalb
32.61799,-86.19335,AL,Alabama,20274,01051,Elmore
31.14072,-87.49393,AL,Alabama,18355,01053,Escambia
34.04796,-85.92463,AL,Alabama,20045,01055,Etowah
33.6663,-87.81846,AL,Alabama,10177,01057,Fayette
34.51688,-87.87134,AL,Alabama,11150,01059,Franklin
31.07549,-85.53886,AL,Alabama,7390,01061,Geneva
32.93442,-87.95285,AL,Alabama,5061,01063,Greene
32.69749,-87.59875,AL,Alabama,7419,01065,Hale
31.37526,-85.3083,AL,Alabama,7822,01067,Henry
31.14367,-85.40236,AL,Alabama,35759,01069,Houston
34.7711,-86.10539,AL,Alabama,11581,01071,Jackson
33.64919,-86.70587,AL,Alabama,46951,01073,Jefferson
33.74629,-88.08439,AL,Alabama,4664,01075,Lamar
34.82363,-87.66057,AL,Alabama,32629,01077,Lauderdale
34.45074,-87.3024,AL,Alabama,13971,01079,Lawrence
32.5389,-85.49207,AL,Alabama,33201,01081,Lee
34.76711,-87.08565,AL,Alabama,25251,01083,Limestone
32.16517,-86.68284,AL,Alabama,3976,01085,Lowndes
32.38841,-85.68244,AL,Alabama,9563,01087,Macon
34.71349,-86.74668,AL,Alabama,41875,01089,Madison
32.42337,-87.9152,AL,Alabama,8395,01091,Marengo
34.1646,-87.99501,AL,Alabama,11145,01093,Marion
34.25261,-86.26201,AL,Alabama,20826,01095,Marshall
30.63011,-88.28067,AL,Alabama,45118,01097,Mobile
31.52094,-87.30741,AL,Alabama,10738,01099,Monroe
32.37856,-86.14567,AL,Alabama,50268,01101,Montgomery
34.60907,-87.01333,AL,Alabama,34434,01103,Morgan
32.69351,-87.28014,AL,Alabama,6165,01105,Perry
33.25825,-87.91413,AL,Alabama,6075,01107,Pickens
31.90489,-85.89686,AL,Alabama,15267,01109,Pike
33.17308,-85.36788,AL,Alabama,11199,01111,Randolph
32.49662,-85.02347,AL,Alabama,22210,01113,Russell
33.66652,-86.42306,AL,Alabama,13842,01115,St. Clair
33.42521,-86.67144,AL,Alabama,49545,01117,Shelby
32.55682,-88.10364,AL,Alabama,5468,01119,Sumter
33.37483,-86.08659,AL,Alabama,26822,01121,Talladega
32.91644,-85.9368,AL,Alabama,20816,01123,Tallapoosa
33.16878,-87.61357,AL,Alabama,39878,01125,Tuscaloosa
33.89267,-87.1667,AL,Alabama,13596,01127,Walker
31.60774,-88.31852,AL,Alabama,3854,01129,Washington
31.97324,-87.29098,AL,Alabama,4814,01131,Wilcox
34.23414,-87.55886,AL,Alabama,13485,01133,Winston
54.12863,-165.80591,AK,Alaska,1027,02013,Aleutians East
53.87601,-166.47449,AK,Alaska,4224,02016,Aleutians West
61.20399,-149.74703,AK,Alaska,40914,02020,Anchorage
60.65431,-161.90549,AK,Alaska,7632,02050,Bethel
58.78297,-156.8984,AK,Alaska,544,02060,Bristol Bay
63.7838,-150.12793,AK,Alaska,1069,02068,Denali
59.99005,-158.39443,AK,Alaska,2603,02070,Dillingham
64.87812,-148.21562,AK,Alaska,29830,02090,Fairbanks North Star
59.12421,-135.70688,AK,Alaska,2602,02100,Haines
58.10737,-135.42584,AK,Alaska,777,02105,Hoonah-Angoon
58.39768,-134.05518,AK,Alaska,29164,02110,Juneau
60.71832,-150.98582,AK,Alaska,15122,02122,Kenai Peninsula
55.56908,-131.01272,AK,Alaska,13508,02130,Ketchikan Gateway
57.58324,-153.40115,AK,Alaska,12899,02150,Kodiak Island
59.79423,-154.64428,AK,Alaska,469,02164,Lake and Peninsula
61.45483,-149.90045,AK,Alaska,52168,02170,Matanuska-Susitna
64.84572,-164.46635,AK,Alaska,4038,02180,Nome
71.27374,-156.74527,AK,Alaska,4213,02185,North Slope
67.29139,-161.98517,AK,Alaska,3553,02188,Northwest Arctic
56.88522,-133.08514,AK,Alaska,3202,02195,Petersburg
55.45479,-132.77209,AK,Alaska,1920,02198,Prince of Wales-Hyder
56.96056,-135.05446,AK,Alaska,8880,02220,Sitka
59.56292,-135.33619,AK,Alaska,968,02230,Skagway
63.79602,-145.07328,AK,Alaska,5011,02240,Southeast Fairbanks
61.12201,-146.82103,AK,Alaska,4005,02261,Valdez-Cordova
61.52785,-166.11506,AK,Alaska,1093,02270,Wade Hampton
56.3695,-131.93648,AK,Alaska,2338,02275,Wrangell
59.52058,-139.48834,AK,Alaska,662,02282,Yakutat
67.53438,-143.7452,AK,Alaska,585,02290,Yukon-Koyukuk
36.17067,-109.6421,AZ,Arizona,10714,04001,Apache
31.57036,-110.17704,AZ,Arizona,34727,04003,Cochise
35.28949,-111.63774,AZ,Arizona,40776,04005,Coconino
34.19483,-111.3052,AZ,Arizona,21877,04007,Gila
32.71135,-109.58409,AZ,Arizona,19677,04009,Graham
33.32098,-109.38563,AZ,Arizona,2943,04011,Greenlee
34.07556,-114.22191,AZ,Arizona,9147,04012,La Paz
33.31738,-111.83218,AZ,Arizona,69810,04013,Maricopa
35.08682,-114.56705,AZ,Arizona,33382,04015,Mohave
34.29984,-109.99991,AZ,Arizona,17207,04017,Navajo
32.27127,-110.99213,AZ,Arizona,57521,04019,Pima
32.91719,-111.74423,AZ,Arizona,50942,04021,Pinal
31.42297,-111.04039,AZ,Arizona,23054,04023,Santa Cruz
34.62598,-112.30617,AZ,Arizona,34401,04025,Yavapai
32.70312,-114.65881,AZ,Arizona,74904,04027,Yuma
34.42237,-91.53302,AR,Arkansas,10736,05001,Arkansas
33.13014,-92.00055,AR,Arkansas,12348,05003,Ashley
36.34238,-92.38619,AR,Arkansas,28560,05005,Baxter
36.35041,-94.25426,AR,Arkansas,40933,05007,Benton
36.23725,-93.09178,AR,Arkansas,30163,05009,Boone
33.60431,-92.10146,AR,Arkansas,8665,05011,Bradley
33.49276,-92.47807,AR,Arkansas,3224,05013,Calhoun
36.34291,-93.5564,AR,Arkansas,10441,05015,Carroll
33.34112,-91.25754,AR,Arkansas,5152,05017,Chicot
34.08201,-93.04608,AR,Arkansas,15637,05019,Clark
36.40111,-90.2079,AR,Arkansas,5127,05021,Clay
35.45357,-91.98887,AR,Arkansas,12535,05023,Cleburne
33.93384,-92.11526,AR,Arkansas,6054,05025,Cleveland
33.23018,-93.18403,AR,Arkansas,16848,05027,Columbia
35.15468,-92.77548,AR,Arkansas,11498,05029,Conway
35.87894,-90.66057,AR,Arkansas,53767,05031,Craighead
35.46827,-94.34951,AR,Arkansas,34074,05033,Crawford
35.1448,-90.18805,AR,Arkansas,26069,05035,Crittenden
35.23114,-90.82297,AR,Arkansas,13734,05037,Cross
33.84887,-92.45283,AR,Arkansas,5980,05039,Dallas
33.89822,-91.52661,AR,Arkansas,6579,05041,Desha
33.63088,-91.7465,AR,Arkansas,15387,05043,Drew
35.05041,-92.48685,AR,Arkansas,44723,05045,Faulkner
35.57712,-93.80774,AR,Arkansas,10177,05047,Franklin
36.35157,-91.84667,AR,Arkansas,3868,05049,Fulton
34.44809,-93.09521,AR,Arkansas,43436,05051,Garland
34.31862,-92.39325,AR,Arkansas,12006,05053,Grant
36.07936,-90.51876,AR,Arkansas,36033,05055,Greene
33.64419,-93.59448,AR,Arkansas,16745,05057,Hempstead
34.34347,-92.82345,AR,Arkansas,23354,05059,Hot Spring
33.99921,-93.85534,AR,Arkansas,10102,05061,Howard
35.79155,-91.65344,AR,Arkansas,25099,05063,Independence
36.02359,-91.95913,AR,Arkansas,3375,05065,Izard
35.57974,-91.22614,AR,Arkansas,11467,05067,Jackson
34.12627,-92.0864,AR,Arkansas,34343,05069,Jefferson
35.51384,-93.51169,AR,Arkansas,14896,05071,Johnson
33.30174,-93.48878,AR,Arkansas,2633,05073,Lafayette
36.0518,-90.91955,AR,Arkansas,7155,05075,Lawrence
34.75473,-90.77151,AR,Arkansas,6466,05077,Lee
33.92544,-91.83071,AR,Arkansas,8267,05079,Lincoln
33.66116,-94.15639,AR,Arkansas,8925,05081,Little River
35.07484,-93.93656,AR,Arkansas,8701,05083,Logan
34.80895,-91.9094,AR,Arkansas,10727,05085,Lonoke
36.10253,-93.68698,AR,Arkansas,9543,05087,Madison
36.26758,-92.7136,AR,Arkansas,6461,05089,Marion
33.44698,-93.9015,AR,Arkansas,36438,05091,Miller
35.90486,-89.90133,AR,Arkansas,23966,05093,Mississippi
34.84674,-91.22427,AR,Arkansas,4348,05095,Monroe
34.56373,-93.58006,AR,Arkansas,3133,05097,Montgomery
33.80573,-93.34537,AR,Arkansas,5894,05099,Nevada
35.98244,-93.23047,AR,Arkansas,2585,05101,Newton
33.58632,-92.81988,AR,Arkansas,20286,05103,Ouachita
34.93742,-92.91483,AR,Arkansas,3674,05105,Perry
34.5502,-90.67834,AR,Arkansas,9107,05107,Phillips
34.33943,-93.59482,AR,Arkansas,4821,05109,Pike
35.59605,-90.53588,AR,Arkansas,9447,05111,Poinsett
34.61426,-94.19489,AR,Arkansas,14882,05113,Polk
35.31282,-93.06679,AR,Arkansas,20973,05115,Pope
34.97643,-91.54038,AR,Arkansas,2867,05117,Prairie
34.91137,-92.14352,AR,Arkansas,37979,05119,Pulaski
36.31837,-91.0361,AR,Arkansas,12518,05121,Randolph
34.9913,-90.75671,AR,Arkansas,20121,05123,St. Francis
34.49332,-92.5896,AR,Arkansas,27307,05125,Saline
34.90485,-94.12455,AR,Arkansas,8117,05127,Scott
35.88003,-92.70621,AR,Arkansas,4362,05129,Searcy
35.35138,-94.36031,AR,Arkansas,26148,05131,Sebastian
34.03781,-94.35088,AR,Arkansas,11253,05133,Sevier
35.95131,-91.54279,AR,Arkansas,4814,05135,Sharp
35.85173,-92.09184,AR,Arkansas,8754,05137,Stone
33.20062,-92.62907,AR,Arkansas,32213,05139,Union
35.61345,-92.52567,AR,Arkansas,7683,05141,Van Buren
36.17838,-94.05255,AR,Arkansas,50230,05143,Washington
35.22889,-91.73563,AR,Arkansas,35169,05145,White
35.24002,-91.15673,AR,Arkansas,3378,05147,Woodruff
35.16885,-93.18247,AR,Arkansas,10565,05149,Yell
37.63382,-122.05719,CA,California,73026,06001,Alameda
38.75366,-119.83344,CA,California,957,06003,Alpine
38.32956,-120.94261,CA,California,11353,06005,Amador
39.7456,-121.84388,CA,California,37725,06007,Butte
38.14951,-120.84699,CA,California,13460,06009,Calaveras
39.27204,-121.9988,CA,California,7718,06011,Colusa
38.01581,-121.90704,CA,California,84641,06013,Contra Costa
41.79625,-124.00515,CA,California,24528,06015,Del Norte
38.6764,-121.05772,CA,California,38797,06017,El Dorado
36.80098,-119.87727,CA,California,76448,06019,Fresno
39.73634,-122.26205,CA,California,15493,06021,Glenn
40.72427,-124.09613,CA,California,24152,06023,Humboldt
32.77255,-115.59929,CA,California,48030,06025,Imperial
37.50147,-118.40492,CA,California,13857,06027,Inyo
35.24847,-118.93632,CA,California,82658,06029,Kern
36.28802,-119.62301,CA,California,65264,06031,Kings
38.9763,-122.62313,CA,California,15585,06033,Lake
40.54876,-120.68499,CA,California,23150,06035,Lassen
33.90685,-118.08263,CA,California,105549,06037,Los Angeles
37.04018,-120.03353,CA,California,49068,06039,Madera
37.98,-122.50282,CA,California,41157,06041,Marin
37.50978,-119.98251,CA,California,11062,06043,Mariposa
39.16032,-123.24289,CA,California,31808,06045,Mendocino
37.06907,-120.84552,CA,California,38776,06047,Merced
41.45588,-120.53621,CA,California,5490,06049,Modoc
37.58419,-118.8523,CA,California,9567,06051,Mono
36.68323,-121.60699,CA,California,61087,06053,Monterey
38.45491,-122.25643,CA,California,66830,06055,Napa
39.19509,-120.977,CA,California,25199,06057,Nevada
33.7525,-117.99397,CA,California,89747,06059,Orange
38.78145,-121.37295,CA,California,51870,06061,Placer
39.93721,-120.90027,CA,California,5970,06063,Plumas
33.88163,-117.44479,CA,California,84519,06065,Riverside
38.47408,-121.44347,CA,California,73985,06067,Sacramento
36.89992,-121.35126,CA,California,48841,06069,San Benito
34.08717,-117.46549,CA,California,95397,06071,San Bernardino
32.60738,-117.05405,CA,California,82999,06073,San Diego
37.72032,-122.44296,CA,California,79407,06075,San Francisco
37.9141,-121.42134,CA,California,65004,06077,San Joaquin
35.66353,-120.73097,CA,California,43714,06079,San Luis Obispo
37.65554,-122.42214,CA,California,63975,06081,San Mateo
